route_id,airline,origin_iata,destination_iata,origin_airport,destination_airport,origin_city,destination_city,origin_country,destination_country,origin_latitude,origin_longitude,destination_latitude,destination_longitude,region,distance_km,route_type,summer_2026_status,route_scope,data_note
QR-DOH-KHI,Qatar Airways,DOH,KHI,Hamad International Airport,Jinnah International Airport,Doha,Karachi,QA,PK,25.273056,51.608056,24.9065,67.160797,Asia-Pacific,1566,Short-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-KIX,Qatar Airways,DOH,KIX,Hamad International Airport,Kansai International Airport,Doha,Osaka,QA,JP,25.273056,51.608056,34.427299,135.244003,Asia-Pacific,7905,Long-haul,Returning / announced (2026-06-16),Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-KTI,Qatar Airways,DOH,KTI,Hamad International Airport,Techo International Airport,Doha,Phnom Penh (Boeng Khyang),QA,KH,25.273056,51.608056,11.359987,104.921272,Asia-Pacific,5797,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-KTM,Qatar Airways,DOH,KTM,Hamad International Airport,Tribhuvan International Airport,Doha,Kathmandu,QA,NP,25.273056,51.608056,27.6966,85.3591,Asia-Pacific,3360,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-KUL,Qatar Airways,DOH,KUL,Hamad International Airport,Kuala Lumpur International Airport,Doha,Sepang,QA,MY,25.273056,51.608056,2.74558,101.709999,Asia-Pacific,5909,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-LAX,Qatar Airways,DOH,LAX,Hamad International Airport,Los Angeles International Airport,Doha,Los Angeles,QA,US,25.273056,51.608056,33.942501,-118.407997,Americas,13347,Ultra-long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-LCA,Qatar Airways,DOH,LCA,Hamad International Airport,Larnaca International Airport,Doha,Larnaca,QA,CY,25.273056,51.608056,34.875099,33.624901,Europe,2028,Short-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-LGW,Qatar Airways,DOH,LGW,Hamad International Airport,London Gatwick Airport,Doha,London,QA,GB,25.273056,51.608056,51.148744,-0.185739,Europe,5215,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-LHE,Qatar Airways,DOH,LHE,Hamad International Airport,Allama Iqbal International Airport,Doha,Lahore,QA,PK,25.273056,51.608056,31.521601,74.403603,Asia-Pacific,2330,Short-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-LHR,Qatar Airways,DOH,LHR,Hamad International Airport,London Heathrow Airport,Doha,London,QA,GB,25.273056,51.608056,51.470748,-0.459909,Europe,5241,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-LIS,Qatar Airways,DOH,LIS,Hamad International Airport,Lisbon Humberto Delgado Airport,Doha,Lisbon,QA,PT,25.273056,51.608056,38.7813,-9.13592,Europe,5812,Medium-haul,Returning / announced (2026-06-16),Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-LOS,Qatar Airways,DOH,LOS,Hamad International Airport,Murtala Muhammed International Airport,Doha,Lagos,QA,NG,25.273056,51.608056,6.57737,3.32116,Africa,5528,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-LUN,Qatar Airways,DOH,LUN,Hamad International Airport,Kenneth Kaunda International Airport,Doha,Lusaka,QA,ZM,25.273056,51.608056,-15.330833,28.452722,Africa,5165,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-MAA,Qatar Airways,DOH,MAA,Hamad International Airport,Chennai International Airport,Doha,Chennai,QA,IN,25.273056,51.608056,12.990005,80.169296,Asia-Pacific,3286,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-MAD,Qatar Airways,DOH,MAD,Hamad International Airport,Adolfo Suárez Madrid–Barajas Airport,Doha,Madrid,QA,ES,25.273056,51.608056,40.493407,-3.572249,Europe,5331,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-MAN,Qatar Airways,DOH,MAN,Hamad International Airport,Manchester Airport,Doha,"Manchester, Greater Manchester",QA,GB,25.273056,51.608056,53.349375,-2.279521,Europe,5410,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-MCT,Qatar Airways,DOH,MCT,Hamad International Airport,Muscat International Airport,Doha,Muscat/Seeb,QA,OM,25.273056,51.608056,23.600218,58.285268,Middle East,701,Short-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-MED,Qatar Airways,DOH,MED,Hamad International Airport,Prince Mohammad Bin Abdulaziz Airport,Doha,Medina,QA,SA,25.273056,51.608056,24.5534,39.705101,Middle East,1203,Short-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-MEL,Qatar Airways,DOH,MEL,Hamad International Airport,Melbourne Airport,Doha,Melbourne,QA,AU,25.273056,51.608056,-37.670732,144.837898,Asia-Pacific,11957,Long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
